Premise	Hypothesis	Label
The Carriage Museum (Museo delle Carrozze), in a wing on the far right of the palace, and the Royal Apartments (Appartamenti Monumentali), upstairs, right of the main entrance, show an opulent, truly palatial life that the palazzo's dour exterior never lets you suspect.	The carriage museum is located outside the palace.	contradictory
so the morning hour is my time to myself	the morning hour by myself is my me time	entailment
At Kuradase, Bodrum, and Marmaris you'll see sponges in all shapes and sizes, while Bodrum's hand-crafted leather sandals are not only chic and cool, but practical, too.	No one has ever seen any sponges in Marmaris.	contradictory
The notion that millions of union members are being forced against their will to help finance this union campaign is simply a Republican fantasy.	Republicans seem to think union members are being forced to help finance this campaign.	entailment
Topham was playing with the three books, setting them up, putting them flat again.	Topham would not touch any of the three books.	contradictory
Normative Question A type of evaluation question requiring comparison between what is happening (the condition) to norms and expectations or standards for what should be happening (the criterion).	A normative question requires comparing the condition to the criterion.	entailment
The collective implication is that Bauer's denials must have been couched to protect some unspecified kind of dalliance.	It is implied that Bauer's denials were couched.	entailment
Inside, the sober French Gothic chancel, exceptional in Naples for its ambulatory around the nine chapels, contrasts with the Baroque chapel left of the choir.	The French Gothic style of the chancel clashes with the chapel's Baroque style.	entailment
He looked completely different from the long-haired merchant as which he had first appeared.	He looked exactly the same as he always had.	contradictory
The view of the illuminated mont at night is spectacular from the other side of the bay.	The darkened mont is not visible from across the bay.	contradictory
The Sacre-Caur's conspicuous whiteness comes from the local Chateau-Landon limestone, which bleaches on contact with carbon dioxide in the air and hardens with age.	The limestone causes the buildings to be so white.	entailment
Their folkcrafts are authentic and much less commercialized than in most other parts of Japan.	Video game design is an authentic Japanese folkcraft.	contradictory
Therefore, the mechanical interface between the ACI system and the boiler is through the duct walls, and high-pressure boiler tubing will not be affected by the retrofit of ACI.	The boiler is not adaptable to the AIC.	contradictory
hi Ken my name's Diane	Hello Ken, I am Diane.	entailment
The grounds are open daily May-Oct. 10am to 6pm; Nov. -Apr. 10-5; but the mansion, now city property and a frequent film set (Witches of Eastwick), is closed to visitors.	The grounds would be open in June around 3:00 PM.	entailment
The above hierarchy may be implemented earlier than fiscal year 1998 with approval from OMB.	This hierarchy could come into effect earlier than 1998, if approved by OMB.	entailment
During the season there are many exhibitions and performances in the gardens of the hall; ask at the Tourist Board office for information.	The Tourist Board Office was disbanded three years ago after a terrorist attack, you have to ask the locals for information.	contradictory
The Oregon Law Center is one of a few legal groups that cater to farmworkers.	The law center caters to farmeworkers, one of the few that does.	entailment
Bening plays the scene on a cascade of emotion, so that she really seems to be speaking from a different world.	She might seem to be speaking from another world due to the emotions she displays.	entailment
Duck your head as the rowboat takes you through the one-m- (3-ft-) high cave entrance.	The entrance to the cave is low.	entailment
Currently, support for non-profit legal aid groups comes from interest generated on the Lawyers' Trust Fund, which pools clients' money that attorneys hold for such matters as escrow funds.	Support for legal aid groups comes from Lawyer's Trust Fund.	entailment
This great civilization came to a sudden, catastrophic end around 1450 b.c.	This grand civilization suddenly ended tragically around 1450 b.c.	entailment
Saint-Tropez	Saint-Tropez.	entailment
It configured both relatively painlessly.	Both were configured relatively painlessy.	entailment
Previously committed to a Triple Alliance with Austria and Germany, Italy remained neutral in 1914.	Austria and Germany were at war with Italy.	contradictory
1) Snob  We all know recliners are tacky.	Recliners are currently in style. 	contradictory
Whatever else may be said about them, both Talmudic and Jesuitical carry connotations of great learning and meticulous attention to argument.	Neither Talmudic or Jesuitical are very meticulous with their attentions to argument.	contradictory
An economic impact analysis is included with the Regulatory Impact Analysis at 62 Fed.	The Regulatory Impact Analysis only incorperates an economic benefits analysis. 	contradictory
and it had a nice little area inside that course it gave you shelter and everything	Once on the course, there was no way to take shelter.	contradictory
Targets directly linked to organizational  VBA identified targets with specific levels of performance for senior executives to meet.	Targets are identified for senior executives to meet based on their levels of performance	entailment
Luxor (known to the Ancient Greeks as Thebes) was for many centuries the capital city and religious focal point of Egypt.	Luxor was the capital city of Egypt.	entailment
In addition, his parents had to purchase the entire stock of a model plane shop for him, so Benedictino bambino could spent hours gluing models together with the help of old Henryk, who wasn't really good at it at all - his hands were shaking too much.	Henryk wasn't able to help him at all because he had shaky hands. 	contradictory
Little boys face a problem very similar to that of high-tech executives.	There is a huge difference between problems faced by little boys and high-tech executives.	contradictory
Two thousand Protestants, in Paris for Henri's wedding to Catherine's daughter Marguerite de Valois, were killed.	Were killed two thousand Protestants.	entailment
this is this is my thirtieth call	I have been on thirty calls, including this one.	entailment
He went to the fire and picked up a pair of sticks, both charred black.	The sticks had been burned.	entailment
3) FBI agents leaked the existence of the dress as a favor to Secret Service agents.	The Secret Service leaked the dress to the FBI.	contradictory
These areas are identified within the guide.	These arenas are identified in the guide.	entailment
But a few chapters later, Ann overhears her mother talking on the phone to Dr. Spritzer, and	In the same chapter, Ann hears her dad talking.	contradictory
it was discuss air pollution causes of it and cures i was going oh well	The discussion was about the causes and remedies of air pollution.  	entailment
